title,url,rating,sum_ecv
Gâteau aux carottes végétalien,https://www.marmiton.org/recettes/recette_gateau-aux-carottes-vegetalien_67632.aspx,4.7,0.1188
Butternut vegetarienne farcie au bleu et boulgour,https://www.marmiton.org/recettes/recette_butternut-vegetarienne-farcie-au-bleu-et-boulgour_347302.aspx,4.7,0.37392000000000003
Gâteau au chocolat végétalien,https://www.marmiton.org/recettes/recette_gateau-au-chocolat-vegetalien_315638.aspx,4.7,0.201459
Pizza végétarienne anti-gaspi,https://www.marmiton.org/recettes/recette_pizza-vegetarienne-anti-gaspi_532023.aspx,5,0.635827
Tajine végétarien (oignons et aubergines),https://www.marmiton.org/recettes/recette_tajine-vegetarien-oignons-et-aubergines_392465.aspx,5,0.788401
Pad Thaï végétarien,https://www.marmiton.org/recettes/recette_pad-thai-vegetarien_372773.aspx,5,0.501934
Burger 100% végétarien,https://www.marmiton.org/recettes/recette_burger-vegetarien_338400.aspx,5,1.6958710000000001
Club sandwich végétarien,https://www.marmiton.org/recettes/recette_club-sandwich-vegetarien_310985.aspx,5,1.847223
Tomates au four végétariennes,https://www.marmiton.org/recettes/recette_tomates-au-four-vegetariennes_219883.aspx,5,0.37536
Galettes végétales aux tomates séchées,https://www.marmiton.org/recettes/recette_galettes-vegetales-aux-tomates-sechees_167522.aspx,5,0.581881
Ragoût végétarien,https://www.marmiton.org/recettes/recette_ragout-vegetarien_51305.aspx,4.2,1.058318
Paupiettes d'aubergine végétariennes,https://www.marmiton.org/recettes/recette_paupiettes-d-aubergine-vegetariennes_66179.aspx,5,0.047495
kebab d'halloumi (végétarien),https://www.marmiton.org/recettes/recette_kebab-d-halloumi-vegetarien_38852.aspx,5,0.09384
Pâté végétal tricolore,https://www.marmiton.org/recettes/recette_pate-vegetal-tricolore_16605.aspx,5,2.535601
Croque monsieur végétarien (ou croque mademoiselle!),https://www.marmiton.org/recettes/recette_croque-monsieur-vegetarien-ou-croque-mademoiselle_69915.aspx,4.2,0.413041
Poivrons farcis (végétarien),https://www.marmiton.org/recettes/recette_poivrons-farcis-vegetarien_27175.aspx,4.2,2.014586
"Burger végétarien au halloumi, avocat et roquette",https://www.marmiton.org/recettes/recette_burger-vegetarien-au-halloumi-avocat-et-roquette_531093.aspx,4.5,3.447253
Quiche épaisse végétarienne de Clarisse,https://www.marmiton.org/recettes/recette_quiche-epaisse-vegetarienne-de-clarisse_534083.aspx,5,1.925583
Nems végétariens au tofu,https://www.marmiton.org/recettes/recette_nems-vegetariens-au-tofu_35479.aspx,5,2.814365
Muffins aux mûres (végétaliens et sans gluten),https://www.marmiton.org/recettes/recette_muffins-vegetaliens-et-sans-gluten-aux-mures_173732.aspx,5,0.14813099999999998
Tarte végétarienne Dida,https://www.marmiton.org/recettes/recette_tarte-vegetarienne-dida_58522.aspx,4.2,0.842156
Spaghetti végétal,https://www.marmiton.org/recettes/recette_spaghetti-vegetal_26935.aspx,4.2,0.124627
Risotto panaché aux courgettes végétarien,https://www.marmiton.org/recettes/recette_risotto-panache-aux-courgettes-vegetarien_33210.aspx,4.3,2.139213
Pudding végétalien,https://www.marmiton.org/recettes/recette_pudding-vegetalien_80841.aspx,5,0.408195
Lasagnes végétariennes d'Hannah,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes_80822.aspx,5,0.911311
Lasagnes végétariennes épinards feta,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-epinards-feta_532834.aspx,5,1.4280570000000001
Quiche végétarienne chèvre miel tofu,https://www.marmiton.org/recettes/recette_quiche-vegetarienne-chevre-miel-tofu_531271.aspx,5,1.923885
Galette végétarienne au quinoa,https://www.marmiton.org/recettes/recette_galette-vegetarienne-au-quinoa_528005.aspx,5,0.324377
Tartiflette végétarienne,https://www.marmiton.org/recettes/recette_tartiflette-vegetarienne_392553.aspx,5,1.07673
Raviolis chinois végétariens,https://www.marmiton.org/recettes/recette_raviolis-chinois-vegetariens_345092.aspx,5,0.253896
Poêlée de courgettes végétarienne,https://www.marmiton.org/recettes/recette_poelee-de-courgettes-vegetarienne_62067.aspx,4.3,0.450114
Soupe chinoise végétarienne,https://www.marmiton.org/recettes/recette_soupe-chinoise-vegetarienne_69159.aspx,4.3,2.113603
Lasagnes végétariennes très fraîches et légères,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-tres-fraiches-et-legeres_323675.aspx,4.5,0.43625400000000003
Canapés végétariens au curry et au Carré Frais,https://www.marmiton.org/recettes/recette_canapes-vegetariens-au-curry-et-au-carre-frais_12588.aspx,4.5,0.9569030000000001
Lasagne végétarienne avec cottage cheese,https://www.marmiton.org/recettes/recette_lasagne-vegetarienne-avec-cottage-cheese_68024.aspx,5,1.054079
Hamburgers végétariens aux paillassons de légumes,https://www.marmiton.org/recettes/recette_hamburgers-vegetariens-aux-paillassons-de-legumes_60806.aspx,5,0.554016
Morbiflette végétarienne,https://www.marmiton.org/recettes/recette_morbiflette-vegetarienne_54849.aspx,5,0.9577190000000001
Pâté végétal,https://www.marmiton.org/recettes/recette_pate-vegetal_45996.aspx,5,4.950831
Lasagnes végétariennes artichauts champignons,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-artichauts-champignons_391583.aspx,5,0.316533
Sauce pour pâtes ' pseudo-bolognaise ' végétarienne,https://www.marmiton.org/recettes/recette_sauce-pour-pates-pseudo-bolognaise-vegetarienne_33256.aspx,5,0.18768
Chili végétarien facile,https://www.marmiton.org/recettes/recette_chili-vegetarien_323199.aspx,5,0.25
Gâteau végétalien,https://www.marmiton.org/recettes/recette_gateau-vegetalien_315703.aspx,5,0.201459
Tapenade végétarienne sans anchois,https://www.marmiton.org/recettes/recette_tapenade-vegetarienne-sans-anchois_229496.aspx,5,0.28152
Harira végétarienne,https://www.marmiton.org/recettes/recette_harira-vegetarienne_228707.aspx,5,0.34384000000000003
Lasagnes végétariennes aubergines champignons,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-aubergines-champignons_168756.aspx,5,0.4692
Steaks végétariens aux haricots rouges,https://www.marmiton.org/recettes/recette_steaks-vegetariens-aux-haricots-rouges_71013.aspx,4,0.112681
champignons farcis végétariens,https://www.marmiton.org/recettes/recette_champignons-farcis-vegetariens_39416.aspx,4,0.633066
Hamburger végétarien au steak de soja,https://www.marmiton.org/recettes/recette_hamburger-vegetarien-steak-soja_49848.aspx,4,0.09384
Émincé végétal à la sauce tomate,https://www.marmiton.org/recettes/recette_emince-vegetal-a-la-sauce-tomate_531193.aspx,4,0.3128
Smoothie végétalien,https://www.marmiton.org/recettes/recette_smoothie-vegetalien_315376.aspx,4,0.781656
Paella végétalienne express,https://www.marmiton.org/recettes/recette_paella-vegetalienne-express_313449.aspx,4,1.055834
Curry végétarien,https://www.marmiton.org/recettes/recette_curry-vegetarien_166920.aspx,4,0.495746
Pâtisson farci végétarien sans épluchage préalable,https://www.marmiton.org/recettes/recette_patisson-farci-vegetarien-sans-epluchage-prealable_231979.aspx,4,0.6366040000000001
Wrap froid végétarien,https://www.marmiton.org/recettes/recette_wrap-froid-vegetarien_320928.aspx,4,0.18768
Cannellonis végétariens,https://www.marmiton.org/recettes/recette_cannellonis-vegetariens_335618.aspx,4,0.520202
Bortsch végétarien (la soupe aux betteraves),https://www.marmiton.org/recettes/recette_bortsch-vegetarien-la-soupe-aux-betteraves_528397.aspx,4,0.401516
Tortillas végétariennes,https://www.marmiton.org/recettes/recette_tortillas-vegetariennes_334927.aspx,4,0.249254
Bouillon végétal maison,https://www.marmiton.org/recettes/recette_bouillon-vegetal-maison_305451.aspx,4,1.8836410000000001
Cookies végétaliens,https://www.marmiton.org/recettes/recette_cookies-vegetaliens_173721.aspx,4,0.251823
Couscous végétarien à la québecoise,https://www.marmiton.org/recettes/recette_couscous-vegetarien-a-la-quebecoise_33820.aspx,4,0.095
Pizza végétarienne au chèvre,https://www.marmiton.org/recettes/recette_pizza-vegetarienne-au-chevre_52343.aspx,4,3.6932400000000003
Lasagnes végétariennes de Claire,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-de-claire_80055.aspx,4,0.37536
Purée de légumes légère végétarienne,https://www.marmiton.org/recettes/recette_puree-de-legumes-legere-vegetarienne_60282.aspx,4,0.920717
Flamiche végétarienne,https://www.marmiton.org/recettes/recette_flamiche-vegetarienne_41186.aspx,4,0.10043
Pâtes grecques végétariennes,https://www.marmiton.org/recettes/recette_pates-grecques-vegetariennes_39854.aspx,4,6.430257
Courgettes farcies végétariennes,https://www.marmiton.org/recettes/recette_courgettes-farcies-vegetariennes_343508.aspx,4,0.873867
Tajine végétarien de Padoo (lentilles et riz),https://www.marmiton.org/recettes/recette_tajine-vegetarien-de-padoo-lentilles-et-riz_231422.aspx,4,0.509221
Fajitas végétariennes aux haricots rouges,https://www.marmiton.org/recettes/recette_fajitas-aux-haricots-rouges_331225.aspx,3.8,0.049508
Crème au café au lait végétal (sans lactose),https://www.marmiton.org/recettes/recette_creme-au-cafe-au-lait-vegetal-sans-lactose_308536.aspx,3.8,0.225361
Lasagne végétarienne sans gluten,https://www.marmiton.org/recettes/recette_lasagne-vegetarienne-sans-gluten_232862.aspx,3.7,0.621027
Pain d'épices végétalien très simple,https://www.marmiton.org/recettes/recette_pain-d-epices-vegetalien-tres-simple_173716.aspx,3,0.423063
Pizza végétarienne d'Hannah,https://www.marmiton.org/recettes/recette_pizza-vegetarienne_59178.aspx,3.8,0.37536
Risotto bio végétarien,https://www.marmiton.org/recettes/recette_risotto-bio-vegetarien_34507.aspx,3.5,0.603777
Burger végétarien au gorgonzola,https://www.marmiton.org/recettes/recette_burger-vegetarien-au-gorgonzola_344591.aspx,3.5,0.614716
Burger végétarien de Lise,https://www.marmiton.org/recettes/recette_burger-vegetarien_336190.aspx,3.5,0.868145
Bombine végétarienne,https://www.marmiton.org/recettes/recette_bombine-vegetarienne_14157.aspx,3.8,0.261245
Salade de pâtes végétarienne à l'aneth,https://www.marmiton.org/recettes/recette_salade-de-pates-vegetarienne-a-l-aneth_49026.aspx,3.8,0.18768
Végépâté,https://www.marmiton.org/recettes/recette_vegepate_33948.aspx,3.7,0.507212
Saucisses végétariennes rapide,https://www.marmiton.org/recettes/recette_saucisses-vegetariennes-rapide_81634.aspx,3.5,0.429749
Fondant végétalien chocolat-banane,https://www.marmiton.org/recettes/recette_fondant-vegetalien-chocolat-banane_345030.aspx,3.5,0.109023
Galettes végétales aux carottes et soja jaune,https://www.marmiton.org/recettes/recette_galettes-vegetales-aux-carottes-et-soja-jaune_61848.aspx,3,0.49644200000000005
Champignons farcis végétariens au fromage,https://www.marmiton.org/recettes/recette_champignons-farcis-vegetariens-au-fromage_28149.aspx,3,0.338042
Pizza végétarienne à l'épeautre,https://www.marmiton.org/recettes/recette_pizza-vegetarienne-a-l-epeautre_225599.aspx,3,0.227819
Tomates farcies végétariennes de ma grand-mère,https://www.marmiton.org/recettes/recette_tomate-farcie-vegetarienne-de-ma-grand-mere_221198.aspx,3,1.592408
Moussaka végétarienne rapide,https://www.marmiton.org/recettes/recette_moussaka-vegetarienne-rapide_10701.aspx,3,0.581881
Hachis végétarien au potimarron,https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien-au-potimarron_221643.aspx,3.8,1.184332
Sauce bolognaise végétarienne,https://www.marmiton.org/recettes/recette_sauce-bolognaise-vegetarienne_16561.aspx,3.8,0.223644
Bolognaise végétarienne au soja,https://www.marmiton.org/recettes/recette_bolognaise-vegetarienne-au-soja_80962.aspx,3.3,0.223644
